step,x,y,z,r
203,2.908387,0.000000,-10.199083,10.605660
204,2.922538,0.000000,-10.149906,10.562283
205,2.936683,0.000000,-10.100710,10.518956
206,2.950822,0.000000,-10.051494,10.475680
207,2.964955,0.000000,-10.002258,10.432456
208,2.979083,0.000000,-9.953003,10.389283
209,2.993204,0.000000,-9.903727,10.346162
210,3.007319,0.000000,-9.854430,10.303095
211,3.021428,0.000000,-9.805112,10.260080
212,3.035530,0.000000,-9.755773,10.217120
213,3.049626,0.000000,-9.706412,10.174215
214,3.063714,0.000000,-9.657029,10.131365
215,3.077795,0.000000,-9.607624,10.088571
216,3.091870,0.000000,-9.558196,10.045833
217,3.105936,0.000000,-9.508745,10.003153
218,3.119995,0.000000,-9.459270,9.960530
219,3.134046,0.000000,-9.409771,9.917966
220,3.148089,0.000000,-9.360248,9.875460
221,3.162124,0.000000,-9.310701,9.833015
222,3.176150,0.000000,-9.261128,9.790629
223,3.190167,0.000000,-9.211530,9.748305
224,3.204175,0.000000,-9.161906,9.706042
225,3.218175,0.000000,-9.112255,9.663842
226,3.232164,0.000000,-9.062578,9.621705
227,3.246144,0.000000,-9.012874,9.579632
228,3.260114,0.000000,-8.963142,9.537623
229,3.274074,0.000000,-8.913381,9.495680
230,3.288023,0.000000,-8.863593,9.453802
231,3.301962,0.000000,-8.813775,9.411991
232,3.315889,0.000000,-8.763927,9.370248
233,3.329805,0.000000,-8.714050,9.328572
234,3.343710,0.000000,-8.664141,9.286966
235,3.357602,0.000000,-8.614202,9.245430
236,3.371482,0.000000,-8.564232,9.203964
237,3.385350,0.000000,-8.514229,9.162570
238,3.399204,0.000000,-8.464193,9.121247
239,3.413045,0.000000,-8.414124,9.079998
240,3.426873,0.000000,-8.364022,9.038823
241,3.440686,0.000000,-8.313885,8.997722
242,3.454485,0.000000,-8.263713,8.956697
243,3.468269,0.000000,-8.213506,8.915748
244,3.482038,0.000000,-8.163263,8.874877
245,3.495791,0.000000,-8.112982,8.834084
246,3.509528,0.000000,-8.062665,8.793370
247,3.523248,0.000000,-8.012309,8.752736
248,3.536952,0.000000,-7.961915,8.712183
249,3.550638,0.000000,-7.911482,8.671711
